    Rank Group    Score       Missing     Variable
     354  F     9.292E-07           0     DCN
     355  F     9.271E-07           0     DDX25
     356  F     9.260E-07           0     BAIAP2L1
     357  F     9.259E-07           0     TPR
     358  F     9.176E-07           0     PMS1
     359  F     9.172E-07           0     SLC17A3
     360  F     9.136E-07           0     CASZ1
     361  F     9.129E-07           0     SCYL2
     362  F     9.035E-07           0     HIP1
     363  F     9.035E-07           0     KLHL15
     364  F     9.028E-07           0     HNMT
     365  F     8.963E-07           0     ATP6V0A4
     366  F     8.955E-07           0     EHHADH
     367  F     8.952E-07           0     VWC2L
     368  F     8.932E-07           0     ZCCHC8
     369  F     8.928E-07           0     SLC4A1
     370  F     8.833E-07           0     ARAP3
     371  F     8.808E-07           0     CCNG1
     372  F     8.754E-07           0     NOS3
     373  F     8.626E-07           0     COPS8
     374  F     8.573E-07           0     KRTAP4.1
     375  F     8.567E-07           0     TRIM28
     376  F     8.553E-07           0     CHKB
     377  F     8.513E-07           0     CCHCR1
     378  F     8.494E-07           0     ARSF
     379  F     8.484E-07           0     NEUROD1
     380  F     8.444E-07           0     ZNF398
     381  F     8.443E-07           0     ANKIB1
     382  F     8.420E-07           0     RBM12
     383  F     8.420E-07           0     ADH6
     384  F     8.383E-07           0     HS6ST3
     385  F     8.367E-07           0     ANKAR
     386  F     8.321E-07           0     CTTN
     387  F     8.226E-07           0     EHMT1
     388  F     8.214E-07           0     PCNA
     389  F     8.208E-07           0     ARNTL2
     390  F     8.175E-07           0     FEZ1
     391  F     8.154E-07           0     RELA
     392  F     8.080E-07           0     DENND1B
     393  F     8.022E-07           0     GNA14
     394  F     7.993E-07           0     SMC1A
     395  F     7.988E-07           0     PPP1R15B
     396  F     7.976E-07           0     RANBP17
     397  F     7.944E-07           0     POMGNT2
     398  F     7.929E-07           0     CEACAM16
     399  F     7.914E-07           0     PCNXL3
     400  F     7.887E-07           0     WDR52
     401  F     7.876E-07           0     PCCA
     402  F     7.857E-07           0     SLC7A10
     403  F     7.848E-07           0     BRCC3
     404  F     7.821E-07           0     SLC25A42
     405  F     7.820E-07           0     LEPREL1
     406  F     7.815E-07           0     ISM1
     407  F     7.775E-07           0     WDR87
     408  F     7.749E-07           0     XKRX
     409  F     7.712E-07           0     CUX2
     410  F     7.701E-07           0     MBD4
     411  F     7.683E-07           0     TLE1
     412  F     7.667E-07           0     ZIC1
     413  F     7.647E-07           0     CTSG
     414  F     7.639E-07           0     GAL3ST3
     415  F     7.606E-07           0     ESPL1
     416  F     7.578E-07           0     DSCAM
     417  F     7.530E-07           0     CHRNA9
     418  F     7.495E-07           0     OR2A12
     419  F     7.492E-07           0     ACBD3
     420  F     7.429E-07           0     MFN1
     421  F     7.420E-07           0     CEP250
     422  F     7.400E-07           0     SH3BP5
     423  F     7.386E-07           0     TSPYL2
     424  F     7.352E-07           0     DUSP10
     425  F     7.346E-07           0     TRPM2
     426  F     7.345E-07           0     DLL3
     427  F     7.345E-07           0     RPAP1
     428  F     7.340E-07           0     KIF24
     429  F     7.329E-07           0     NR2C2
     430  F     7.314E-07           0     NFIC
     431  F     7.305E-07           0     PROM2
     432  F     7.304E-07           0     PAPOLA
     433  F     7.302E-07           0     KRT78
     434  F     7.231E-07           0     TGM3
     435  F     7.224E-07           0     WNK3
     436  F     7.219E-07           0     CCDC158
     437  F     7.211E-07           0     CLSTN2
     438  F     7.209E-07           0     SCO1
     439  F     7.178E-07           0     KRT79
     440  F     7.163E-07           0     RSPO4
     441  F     7.148E-07           0     RNASEL
     442  F     7.109E-07           0     PKNOX2
     443  F     7.105E-07           0     USP35
     444  F     7.092E-07           0     NLRP13
     445  F     7.021E-07           0     KCNH4
     446  F     7.021E-07           0     ABHD13
     447  F     7.014E-07           0     GABRA1
     448  F     7.013E-07           0     NPTX2
     449  F     7.001E-07           0     TSGA10
     450  F     6.945E-07           0     CCDC150
     451  F     6.939E-07           0     KRTAP13.2
     452  F     6.933E-07           0     MAGEB1
     453  F     6.929E-07           0     MTMR3
     454  F     6.902E-07           0     ZC3HAV1
     455  F     6.872E-07           0     ZPLD1
     456  F     6.868E-07           0     OR2A2
     457  F     6.849E-07           0     FBXL13
     458  F     6.827E-07           0     ZBTB39
     459  F     6.786E-07           0     DGKI
     460  F     6.780E-07           0     PFAS
     461  F     6.780E-07           0     KRT82
     462  F     6.765E-07           0     METTL25
     463  F     6.761E-07           0     HOXD3
     464  F     6.760E-07           0     POU1F1
     465  F     6.753E-07           0     ESRRG
     466  F     6.735E-07           0     PLEKHH2
     467  F     6.731E-07           0     TGM2
     468  F     6.728E-07           0     NFATC4
     469  F     6.728E-07           0     LINGO2
     470  F     6.715E-07           0     WDR75
     471  F     6.704E-07           0     KBTBD12
     472  F     6.703E-07           0     ITGB6
     473  F     6.674E-07           0     ALPI
     474  F     6.634E-07           0     CCDC97
     475  F     6.633E-07           0     INSR
     476  F     6.612E-07           0     DEFB118
     477  F     6.584E-07           0     OFD1
     478  F     6.583E-07           0     SCO2
     479  F     6.580E-07           0     SPECC1L
     480  F     6.563E-07           0     XIRP1
     481  F     6.560E-07           0     FPR1
     482  F     6.556E-07           0     ARHGEF25
     483  F     6.553E-07           0     BEND2
     484  F     6.548E-07           0     TFDP3
     485  F     6.536E-07           0     PTPRS
     486  F     6.529E-07           0     THOC2
     487  F     6.529E-07           0     C12orf39
     488  F     6.524E-07           0     CRB1
     489  F     6.512E-07           0     LRWD1
     490  F     6.502E-07           0     ABHD17B
     491  F     6.487E-07           0     HKR1
     492  F     6.450E-07           0     SPRY2
     493  F     6.447E-07           0     MCF2L
     494  F     6.434E-07           0     UGT8
     495  F     6.430E-07           0     KRTAP26.1
     496  F     6.429E-07           0     CCDC39
     497  F     6.406E-07           0     LMLN
     498  F     6.389E-07           0     PLCH2
     499  F     6.382E-07           0     DES
     500  F     6.374E-07           0     CCDC13
     501  F     6.371E-07           0     SNED1
     502  F     6.368E-07           0     EFEMP1
     503  F     6.352E-07           0     DAO
     504  F     6.342E-07           0     RUNDC3A
     505  F     6.334E-07           0     KERA
     506  F     6.322E-07           0     MED1
     507  F     6.311E-07           0     GPATCH8
     508  F     6.297E-07           0     P2RY10
     509  F     6.286E-07           0     SKOR1
     510  F     6.275E-07           0     ACSL4
     511  F     6.241E-07           0     NR1H2
     512  F     6.239E-07           0     CHAMP1
     513  F     6.237E-07           0     KCNH2
     514  F     6.220E-07           0     TECRL
     515  F     6.216E-07           0     XIAP
     516  F     6.206E-07           0     KRTAP12.4
     517  F     6.184E-07           0     ERCC6L2
     518  F     6.173E-07           0     RPP38
     519  F     6.162E-07           0     NFASC
     520  F     6.162E-07           0     MFSD1
     521  F     6.145E-07           0     ZFR2
     522  F     6.139E-07           0     ANKMY1
     523  F     6.139E-07           0     GKN2
     524  F     6.138E-07           0     SRRM4
     525  F     6.115E-07           0     MED24
     526  F     6.107E-07           0     ITGAV
     527  F     6.106E-07           0     EML1
     528  F     6.095E-07           0     PRPF40A
     529  F     6.087E-07           0     PPP1R13B
     530  F     6.074E-07           0     RHBDL3
     531  F     6.068E-07           0     IRGC
     532  F     6.060E-07           0     OTUB1
     533  F     6.053E-07           0     CSF2RA
     534  F     6.049E-07           0     MYEOV
     535  F     6.047E-07           0     SLCO1C1
     536  F     6.039E-07           0     TMPRSS12
     537  F     6.037E-07           0     AADAC
     538  F     6.035E-07           0     IGSF11
     539  F     6.021E-07           0     MAP3K13
     540  F     6.013E-07           0     ZNF133
     541  F     6.006E-07           0     GRSF1
     542  F     6.003E-07           0     PDE1A
     543  F     5.986E-07           0     DDX53
     544  F     5.982E-07           0     CYP8B1
     545  F     5.953E-07           0     TIAM1
     546  F     5.936E-07           0     HBP1
     547  F     5.933E-07           0     ECE2
     548  F     5.919E-07           0     RPSA
     549  F     5.917E-07           0     JAG2
     550  F     5.885E-07           0     BACE2
     551  F     5.878E-07           0     MITF
     552  F     5.876E-07           0     NELL2
     553  F     5.870E-07           0     SYT3
     554  F     5.865E-07           0     NISCH
     555  F     5.850E-07           0     GUCY2F
     556  F     5.849E-07           0     SH2B2
     557  F     5.827E-07           0     PLEKHG5
     558  F     5.822E-07           0     TM4SF18
     559  F     5.822E-07           0     PTPN11
     560  F     5.814E-07           0     JAG1
     561  F     5.813E-07           0     KCNJ12
     562  F     5.812E-07           0     BMP2
     563  F     5.802E-07           0     SPESP1
     564  F     5.790E-07           0     AAR2
     565  F     5.781E-07           0     NTRK2
     566  F     5.780E-07           0     KLHL35
     567  F     5.766E-07           0     HIST1H2BG
     568  F     5.756E-07           0     FOXA2
     569  F     5.753E-07           0     THUMPD2
     570  F     5.752E-07           0     TAZ
     571  F     5.752E-07           0     HCN2
     572  F     5.748E-07           0     IQSEC2
     573  F     5.747E-07           0     ZNF471
     574  F     5.744E-07           0     NCKAP1
     575  F     5.737E-07           0     INVS
     576  F     5.732E-07           0     SLC40A1
     577  F     5.729E-07           0     BMP2K
     578  F     5.716E-07           0     TUBAL3
     579  F     5.705E-07           0     CYP27C1
     580  F     5.704E-07           0     NRXN1
     581  F     5.694E-07           0     MTMR10
     582  F     5.693E-07           0     TOP2A
     583  F     5.680E-07           0     PTPRH
     584  F     5.676E-07           0     CYP2A13
     585  F     5.663E-07           0     THADA
     586  F     5.656E-07           0     AKT2
     587  F     5.653E-07           0     ARSJ
     588  F     5.652E-07           0     MASP2
     589  F     5.643E-07           0     UBTF
     590  F     5.638E-07           0     RNF111
     591  F     5.634E-07           0     TDRD1
     592  F     5.631E-07           0     PFKP
     593  F     5.615E-07           0     COL5A3
     594  F     5.609E-07           0     KCNIP1
     595  F     5.608E-07           0     TRAF3
     596  F     5.607E-07           0     SOWAHC
     597  F     5.581E-07           0     ABCA1
     598  F     5.565E-07           0     CAPN2
     599  F     5.548E-07           0     SHMT2
     600  F     5.545E-07           0     SCAP
     601  F     5.532E-07           0     NYAP1
     602  F     5.526E-07           0     MYPOP
     603  F     5.524E-07           0     MYRIP
     604  F     5.521E-07           0     CORO1C
     605  F     5.521E-07           0     PSMF1
     606  F     5.515E-07           0     SNRNP200
     607  F     5.510E-07           0     PPP6R3
     608  F     5.506E-07           0     PGM2
     609  F     5.493E-07           0     PCDHB13
     610  F     5.492E-07           0     PFKM
     611  F     5.489E-07           0     SPECC1
     612  F     5.478E-07           0     AP1G2
     613  F     5.477E-07           0     CCDC64
     614  F     5.471E-07           0     GGT1
     615  F     5.440E-07           0     PBDC1
     616  F     5.440E-07           0     SLC38A1
     617  F     5.434E-07           0     DISP2
     618  F     5.430E-07           0     EVA1A
     619  F     5.429E-07           0     NUP205
     620  F     5.418E-07           0     KCNAB2
     621  F     5.418E-07           0     EXD3
     622  F     5.414E-07           0     MYO1E
     623  F     5.406E-07           0     KDM5C
     624  F     5.406E-07           0     ADRA1B
     625  F     5.395E-07           0     PLIN4
     626  F     5.392E-07           0     KIAA1210
     627  F     5.391E-07           0     FOXA3
     628  F     5.382E-07           0     TM4SF4
     629  F     5.382E-07           0     ANKRD24
     630  F     5.376E-07           0     THSD7B
     631  F     5.369E-07           0     WDR91
     632  F     5.366E-07           0     TLE4
     633  F     5.362E-07           0     MERTK
     634  F     5.347E-07           0     ARHGEF26
     635  F     5.331E-07           0     LILRA3
     636  F     5.331E-07           0     STON1.GTF2A1L
     637  F     5.329E-07           0     RMI1
     638  F     5.324E-07           0     ADRBK1
     639  F     5.320E-07           0     DNMT3B
     640  F     5.311E-07           0     PLA1A
     641  F     5.310E-07           0     CHAC1
     642  F     5.299E-07           0     PTCHD2
     643  F     5.297E-07           0     PSME4
     644  F     5.293E-07           0     MTOR
     645  F     5.293E-07           0     PDHA1
     646  F     5.288E-07           0     ERBB3
     647  F     5.288E-07           0     ADAMTS20
     648  F     5.287E-07           0     PAN2
     649  F     5.280E-07           0     UQCRC1
     650  F     5.275E-07           0     DYSF
     651  F     5.268E-07           0     DPH6
     652  F     5.260E-07           0     ZBTB33
     653  F     5.260E-07           0     FOXG1
     654  F     5.254E-07           0     PTH1R
     655  F     5.254E-07           0     ZNF300
     656  F     5.250E-07           0     OR2AE1
     657  F     5.244E-07           0     PIP5K1B
     658  F     5.242E-07           0     PREPL
     659  F     5.235E-07           0     TGFBR1
     660  F     5.222E-07           0     ZNF229
     661  F     5.217E-07           0     UGT2B11
     662  F     5.217E-07           0     GSAP
     663  F     5.215E-07           0     PPP1R18
     664  F     5.213E-07           0     SCG5
     665  F     5.205E-07           0     C10orf82
     666  F     5.198E-07           0     ARIH2
     667  F     5.198E-07           0     PSMD3
     668  F     5.197E-07           0     HPD
     669  F     5.191E-07           0     ZNF621
     670  F     5.189E-07           0     HSD17B1
     671  F     5.182E-07           0     KCTD16
     672  F     5.170E-07           0     KAT2B
     673  F     5.169E-07           0     PSG11
     674  F     5.163E-07           0     CPNE4
     675  F     5.162E-07           0     MGAT4A
     676  F     5.151E-07           0     LRIG1
     677  F     5.151E-07           0     TSEN34
     678  F     5.141E-07           0     ZNF43
     679  F     5.137E-07           0     GNAT1
     680  F     5.136E-07           0     RBM23
     681  F     5.134E-07           0     AP4M1
     682  F     5.133E-07           0     SLC4A3
     683  F     5.125E-07           0     CCDC93
     684  F     5.121E-07           0     CD99L2
     685  F     5.116E-07           0     ZDHHC23
     686  F     5.103E-07           0     TMEM2
     687  F     5.102E-07           0     VPS51
     688  F     5.102E-07           0     HRG
     689  F     5.095E-07           0     MUC4
     690  F     5.093E-07           0     MANBA
     691  F     5.093E-07           0     SI
     692  F     5.092E-07           0     KIF26A
     693  F     5.081E-07           0     HOXD12
     694  F     5.080E-07           0     CPS1
     695  F     5.078E-07           0     DAK
     696  F     5.075E-07           0     SEMA5B
     697  F     5.069E-07           0     SEMA4F
